freq_hz,z_re,z_im,sigma_re,sigma_im
# 真值: Rs=10Ω, Rct=100Ω, Cdl=100µF, 噪声 σ≈0.5%
1,109.09812,-5.9295137,0.548927,0.548927
1.33352,108.99005,-9.0964698,0.548095,0.548095
1.77828,108.24936,-11.599625,0.546627,0.546627
2.37137,108.10234,-15.059161,0.544045,0.544045
3.16228,106.338,-18.506301,0.539543,0.539543
4.21697,103.26261,-25.281744,0.531809,0.531809
5.62341,98.014896,-31.84299,0.518849,0.518849
0,100,-50,1,1
7.49894,91.151538,-38.300548,0.497994,0.497994
10,82.090739,-44.206294,0.466462,0.466462
13.3352,69.463549,-48.486908,0.4228,0.4228
17.7828,54.151514,-49.701463,0.368683,0.368683
23.7137,41.047474,-46.311688,0.3093,0.3093
31.6228,30.051805,-40.254224,0.251262,0.251262
42.1697,22.446276,-33.070112,0.199762,0.199762
56.2341,17.523274,-26.336304,0.157316,0.157316
74.9894,14.149892,-20.095108,0.124221,0.124221
100,12.292482,-15.569296,0.1,0.1
133.352,11.629241,-11.751774,0.1,0.1
177.828,10.755801,-8.8449987,0.1,0.1
237.137,10.573359,-6.6948789,0.1,0.1
316.228,10.089936,-4.8933353,0.1,0.1
421.697,10.105558,-3.7767708,0.1,0.1
562.341,10.060577,-2.7715383,0.1,0.1
749.894,9.908863,-2.1279992,0.1,0.1
-12,100,-50,1,1
1000,9.9664359,-1.7103835,0.1,0.1
1333.52,10.061939,-1.2411463,0.1,0.1
1778.28,9.9496572,-0.88975824,0.1,0.1
2371.37,9.9107778,-0.77901469,0.1,0.1
3162.28,9.9484553,-0.4574891,0.1,0.1
4216.97,10.01471,-0.32187155,0.1,0.1
5623.41,9.9420061,-0.43837719,0.1,0.1
7498.94,9.7984104,-0.20760086,0.1,0.1
10000,9.9931124,-0.18654037,0.1,0.1
13335.2,10.103067,-0.16249207,0.1,0.1
17782.8,10.001762,-0.12044166,0.1,0.1
23713.7,10.001243,0.015763877,0.1,0.1
31622.8,9.9931102,-0.076667437,0.1,0.1
42169.7,10.070716,-0.26979857,0.1,0.1
56234.1,9.9339136,0.11989731,0.1,0.1
74989.4,9.8860144,-0.15183341,0.1,0.1
100000,9.9179566,-0.026959872,0.1,0.1
